	id	doc_id	term_id
2613	13008	MNCLW00013	5720049
2604	13002	MNCLW00013	938
2606	13003	MNCLW00013	7160014
2605	13003	MNCLW00013	5720034
3293	14321	MNCLW00014	760
3267	14307	MNCLW00014	6950023
3285	14317	MNCLW00014	240011
3283	14315	MNCLW00014	6970021
3352	14351	MNCLW00014	2450017
3245	14293	MNCLW00014	2720021
3241	14292	MNCLW00014	956
3227	14287	MNCLW00014	5720054
3295	14323	MNCLW00014	5130022
3255	14296	MNCLW00014	6700056
3296	14323	MNCLW00014	2590023
3325	14342	MNCLW00014	1570029
3302	14325	MNCLW00014	2430020
3304	14326	MNCLW00014	650020
3313	14331	MNCLW00014	5540012
3314	14331	MNCLW00014	5540014
3315	14331	MNCLW00014	439
3224	14286	MNCLW00014	5720059
3326	14343	MNCLW00014	1460025
3327	14343	MNCLW00014	1460018
3334	14345	MNCLW00014	690059
3347	14349	MNCLW00014	4310018
3299	14324	MNCLW00014	1470028
3216	14283	MNCLW00014	1730024
3105	14209	MNCLW00014	3940031
3181	14265	MNCLW00014	6550029
3028	14183	MNCLW00014	8090021
3029	14184	MNCLW00014	928
3030	14184	MNCLW00014	4360020
3032	14185	MNCLW00014	790027
3033	14185	MNCLW00014	1172
3039	14188	MNCLW00014	90014
3045	14190	MNCLW00014	7020020
3051	14191	MNCLW00014	600013
3052	14191	MNCLW00014	600014
3054	14191	MNCLW00014	794
3207	14280	MNCLW00014	1470023
3057	14192	MNCLW00014	420018
3073	14197	MNCLW00014	6900014
3075	14197	MNCLW00014	728
3077	14197	MNCLW00014	475
3092	14200	MNCLW00014	6550025
3095	14202	MNCLW00014	50024
3139	14247	MNCLW00014	1770027
3151	14253	MNCLW00014	470054
3152	14253	MNCLW00014	1470022
3153	14253	MNCLW00014	1470025
3156	14253	MNCLW00014	470064
3062	14194	MNCLW00014	4350013
3355	14351	MNCLW00014	2450022
3650	14469	MNCLW00014	5720051
3361	14353	MNCLW00014	790029
3548	14435	MNCLW00014	5720229
3551	14436	MNCLW00014	140421
3552	14436	MNCLW00014	5720234
3558	14437	MNCLW00014	140422
3560	14438	MNCLW00014	140423
3561	14438	MNCLW00014	140424
3563	14438	MNCLW00014	140430
3571	14440	MNCLW00014	140425
3576	14443	MNCLW00014	140428
3580	14444	MNCLW00014	140429
3547	14435	MNCLW00014	140420
3593	14449	MNCLW00014	1041
3643	14468	MNCLW00014	1121
3027	14183	MNCLW00014	1880017
3670	14474	MNCLW00014	250019
3697	14489	MNCLW00014	303
3704	14496	MNCLW00014	5750020
3705	14496	MNCLW00014	5720062
3706	14496	MNCLW00014	6190023
3743	14515	MNCLW00014	140499
3759	14522	MNCLW00014	450
3807	14533	MNCLW00014	4360014
3638	14466	MNCLW00014	617
3359	14353	MNCLW00014	790017
3544	14434	MNCLW00014	6140038
3537	14433	MNCLW00014	1030
3368	14355	MNCLW00014	7900013
3370	14355	MNCLW00014	7060015
3371	14355	MNCLW00014	6700016
3372	14355	MNCLW00014	7060017
3373	14355	MNCLW00014	6700018
3374	14355	MNCLW00014	1980016
3375	14355	MNCLW00014	2490036
3385	14357	MNCLW00014	6630033
3387	14357	MNCLW00014	531
3388	14357	MNCLW00014	6630014
3538	14433	MNCLW00014	798
3411	14375	MNCLW00014	8400024
3436	14389	MNCLW00014	687
3441	14391	MNCLW00014	5720223
3448	14393	MNCLW00014	5720230
3467	14404	MNCLW00014	6140027
3484	14413	MNCLW00014	2310022
3526	14429	MNCLW00014	140414
3527	14430	MNCLW00014	8260033
3528	14430	MNCLW00014	140415
3530	14431	MNCLW00014	6550051
3531	14431	MNCLW00014	140419
3416	14377	MNCLW00014	40025
3026	14183	MNCLW00014	810018
3023	14182	MNCLW00014	3980017
2667	14016	MNCLW00014	14
2699	14025	MNCLW00014	5720049
2704	14026	MNCLW00014	205
2706	14026	MNCLW00014	2310013
2710	14027	MNCLW00014	1470030
2716	14028	MNCLW00014	6720020
2721	14029	MNCLW00014	1339
2733	14033	MNCLW00014	140031
2737	14035	MNCLW00014	140033
2738	14035	MNCLW00014	470026
2739	14036	MNCLW00014	140034
2740	14037	MNCLW00014	470056
2742	14037	MNCLW00014	140035
2743	14037	MNCLW00014	2340031
2749	14039	MNCLW00014	5720058
2764	14045	MNCLW00014	1211
2767	14049	MNCLW00014	1950018
2781	14057	MNCLW00014	791
2783	14059	MNCLW00014	1460020
2785	14060	MNCLW00014	1470017
2787	14060	MNCLW00014	1470015
2790	14062	MNCLW00014	8260022
2690	14022	MNCLW00014	7160023
2686	14021	MNCLW00014	140019
2684	14020	MNCLW00014	4350015
2683	14020	MNCLW00014	6140040
2650	14002	MNCLW00014	938
2651	14003	MNCLW00014	5720034
2652	14003	MNCLW00014	7160014
2659	14016	MNCLW00014	6770048
2660	14016	MNCLW00014	4810018
2662	14016	MNCLW00014	548
2663	14016	MNCLW00014	6140037
2664	14016	MNCLW00014	1480013
2666	14016	MNCLW00014	7020015
3024	14182	MNCLW00014	550012
2792	14063	MNCLW00014	713
2668	14016	MNCLW00014	3300017
2670	14016	MNCLW00014	691
2671	14016	MNCLW00014	5720082
2672	14016	MNCLW00014	5950065
2673	14016	MNCLW00014	6700020
2674	14016	MNCLW00014	4350014
2675	14017	MNCLW00014	3940032
2676	14017	MNCLW00014	7160015
2678	14018	MNCLW00014	226
2679	14018	MNCLW00014	5830015
2680	14019	MNCLW00014	140017
2669	14016	MNCLW00014	2770030
2803	14068	MNCLW00014	356
2695	14023	MNCLW00014	5830012
2809	14073	MNCLW00014	5720070
2925	14125	MNCLW00014	46
2926	14125	MNCLW00014	851
2931	14129	MNCLW00014	138
2933	14130	MNCLW00014	1730029
2948	14146	MNCLW00014	359
2950	14146	MNCLW00014	4810031
2962	14152	MNCLW00014	5890015
2964	14153	MNCLW00014	2780027
2965	14153	MNCLW00014	690020
2967	14155	MNCLW00014	6870041
2924	14125	MNCLW00014	710029
2981	14161	MNCLW00014	240010
2988	14165	MNCLW00014	1470043
2990	14166	MNCLW00014	470066
2992	14166	MNCLW00014	7810014
2993	14167	MNCLW00014	2340033
2997	14167	MNCLW00014	1004
3008	14172	MNCLW00014	6970012
3009	14172	MNCLW00014	6970013
3016	14179	MNCLW00014	8360012
2804	14068	MNCLW00014	340
3022	14181	MNCLW00014	3980019
2983	14161	MNCLW00014	8350023
2923	14125	MNCLW00014	38
3020	14181	MNCLW00014	810024
2906	14115	MNCLW00014	6140090
2810	14073	MNCLW00014	424
2811	14073	MNCLW00014	1730028
2812	14073	MNCLW00014	190
2815	14074	MNCLW00014	918
2850	14096	MNCLW00014	350026
2851	14096	MNCLW00014	7920013
2854	14096	MNCLW00014	1460019
2859	14097	MNCLW00014	5660016
2863	14098	MNCLW00014	5190019
2865	14098	MNCLW00014	710024
2882	14106	MNCLW00014	5720066
2852	14096	MNCLW00014	3980016
2886	14108	MNCLW00014	5490025
2884	14108	MNCLW00014	2410018
2903	14115	MNCLW00014	2430019
